"species","frequency_wc","freq"
"Lathyrus pratensis","-0.387","2241"
"Lathyrus sylvestris","-1.215","38"
"Lathyrus tuberosus","0.063","316"
"Lathyrus vernus","-1.982","1074"
"Leersia oryzoides","-0.553","206"
"Lemna gibba","-0.322","408"
"Lemna minor","-0.515","3630"
"Lemna trisulca","-0.361","444"
"Leontodon hispidus","-0.321","1440"
"Leonurus cardiaca","-0.516","73"
"Lepidium campestre","-1.092","38"
"Lepidium coronopus","0.787","38"
"Lepidium draba","-0.43","218"
"Lepidium ruderale","0.289","215"
"Leucanthemum vulgare agg.","-0.39","1801"
"Libanotis pyrenaica","-1.102","49"
"Ligusticum mutellina","-0.968","40"
"Ligustrum vulgare","-1.865","241"
"Lilium martagon","-1.918","367"
"Limosella aquatica","-0.22","198"
"Linaria genistifolia","-1.398","109"
"Linaria vulgaris","-0.749","402"
"Linum catharticum","-0.336","725"
"Linum flavum","-0.702","34"
"Linum tenuifolium","-0.061","80"
"Listera ovata","-1.463","117"
"Littorella uniflora","-0.673","28"
"Lolium multiflorum","0.051","81"
"Lolium perenne","-0.004","1491"
"Lonicera nigra","-1.949","90"
"Lonicera xylosteum","-1.949","333"
"Lotus corniculatus","-0.616","1799"
"Lotus maritimus","-0.194","121"
"Lotus pedunculatus","-0.362","496"
"Lotus tenuis","-0.333","108"
"Lunaria rediviva","-1.9","186"
"Luzula campestris agg.","-0.913","1948"
"Luzula luzulina","-2","21"
"Luzula luzuloides","-1.899","1410"
"Luzula pilosa","-1.919","475"
"Luzula sylvatica","-1.794","216"
"Lychnis flos-cuculi","-0.468","1756"
"Lycium barbarum","-1.343","30"
"Lycopodium annotinum","-1.939","63"
"Lycopsis arvensis","0.503","135"
"Lycopus europaeus","-0.971","1470"
"Lysimachia nemorum","-1.709","437"
"Lysimachia nummularia","-1.238","1556"
"Lysimachia thyrsiflora","-1.169","209"
"Lysimachia vulgaris","-1.097","2114"
"Lythrum hyssopifolia","-0.118","23"
"Lythrum salicaria","-0.777","1511"
"Lythrum virgatum","-0.196","21"
"Maianthemum bifolium","-1.961","1148"
"Malva neglecta","0.204","228"
"Matricaria chamomilla","0.394","258"
